batsman,0,1,clutch_gap
BB Samantray,105.26315789473684,250.0,144.73684210526318
J Fraser-McGurk,176.24309392265195,300.0,123.75690607734805
M Morkel,50.0,158.9041095890411,108.9041095890411
SB Dubey,90.0,180.59701492537314,90.59701492537314
Niraj Patel,48.214285714285715,138.23529411764704,90.02100840336132
PA Reddy,91.50326797385621,171.42857142857142,79.9253034547152
AP Tare,115.75091575091577,191.66666666666669,75.91575091575092
MJ Guptill,133.33333333333331,209.0909090909091,75.75757575757578
SS Prabhudessai,75.92592592592592,144.0677966101695,68.14187068424357
AA Bilakhia,65.71428571428571,127.77777777777777,62.06349206349206
SP Fleming,113.17365269461077,175.0,61.826347305389234
Kamran Akmal,150.81967213114754,211.76470588235296,60.945033751205415
Sandeep Sharma,31.57894736842105,90.0,58.421052631578945
PBB Rajapaksa,131.46067415730337,186.95652173913044,55.495847581827064
HM Amla,136.3861386138614,185.71428571428572,49.32814710042433
NLTC Perera,117.91666666666667,163.95348837209303,46.03682170542636
Sameer Rizvi,117.56756756756756,163.46153846153845,45.89397089397089
RK Singh,126.72566371681415,167.98245614035088,41.25679242353672
NM Coulter-Nile,101.63934426229508,142.85714285714286,41.21779859484778
KS Bharat,108.66141732283465,148.78048780487805,40.1190704820434
JDP Oram,94.23076923076923,133.33333333333331,39.10256410256409
Washington Sundar,104.66926070038912,143.19526627218934,38.526005571800226
CA Ingram,108.92857142857142,146.66666666666666,37.73809523809524
JJ Roy,128.39195979899498,166.1290322580645,37.73707245906954
AD Hales,116.8421052631579,154.16666666666669,37.32456140350878
RS Bopara,106.57894736842107,143.1818181818182,36.60287081339712
MM Sharma,73.07692307692307,109.6774193548387,36.60049627791564
P Dogra,76.74418604651163,110.9090909090909,34.16490486257928
SW Billings,118.78980891719746,152.94117647058823,34.15136755339077
S Rana,100.0,132.14285714285714,32.14285714285714
SE Marsh,124.44444444444444,156.508875739645,32.06443129520055
JA Morkel,126.8041237113402,158.59030837004406,31.78618465870386
Lalit Yadav,88.50574712643679,118.8976377952756,30.391890668838812
Mohammed Siraj,67.5,97.70114942528735,30.201149425287355
N Jagadeesan,92.47311827956989,122.58064516129032,30.107526881720432
Ashutosh Sharma,137.06896551724137,167.14285714285714,30.073891625615772
DJ Mitchell,120.77294685990339,150.7462686567164,29.973321796813025
M Vohra,123.41220423412204,153.33333333333334,29.9211290992113
R Dravid,110.01767825574544,138.91402714932127,28.896348893575833
SD Chitnis,101.38888888888889,130.0,28.611111111111114
Arshad Khan,115.15151515151516,142.10526315789474,26.953748006379584
Sachin Baby,109.19540229885058,136.11111111111111,26.915708812260533
M Rawat,58.82352941176471,84.90566037735849,26.082130965593777
PD Collingwood,124.08759124087592,150.0,25.912408759124077
M Kaif,94.44444444444444,120.0,25.555555555555557
SK Rasheed,101.78571428571428,127.27272727272727,25.48701298701299
SL Malinga,66.66666666666666,92.10526315789474,25.438596491228083
CA Pujara,92.55952380952381,117.91044776119404,25.350923951670225
Naman Dhir,165.359477124183,190.4109589041096,25.051481779926604
YV Takawale,100.0,125.0,25.0
C Munro,119.84126984126983,144.44444444444443,24.603174603174594
PWH de Silva,75.43859649122807,100.0,24.56140350877193
JR Hopes,123.71134020618557,147.5,23.788659793814432
MS Bisla,104.51612903225806,128.2051282051282,23.68899917287014
MJ Santner,86.53846153846155,110.16949152542372,23.631029986962176
F du Plessis,129.65755576500158,153.08056872037915,23.423012955377573
Rashid Khan,139.1304347826087,162.06896551724137,22.93853073463268
BJ Hodge,115.65420560747664,138.04713804713805,22.392932439661408
SC Ganguly,98.2078853046595,120.47619047619047,22.26830517153097
JEC Franklin,100.836820083682,122.85714285714286,22.02032277346086
S Nadeem,30.0,51.724137931034484,21.724137931034484
D Wiese,130.0,150.9090909090909,20.909090909090907
Y Venugopal Rao,106.50994575045208,126.92307692307692,20.413131172624844
Y Nagar,98.93048128342245,119.04761904761905,20.1171377641966
A Mhatre,175.9036144578313,195.83333333333331,19.929718875502004
GC Smith,104.85436893203884,124.65753424657535,19.803165314536514
WPUJC Vaas,106.89655172413792,126.66666666666666,19.770114942528735
DA Miller,127.72404900064474,147.31182795698925,19.587778956344508
Mandeep Singh,117.35880398671097,136.9158878504673,19.557083863756333
DL Vettori,96.25,115.78947368421053,19.539473684210535
UT Yadav,85.71428571428571,104.9645390070922,19.25025329280649
TK Curran,105.26315789473684,124.28571428571429,19.022556390977456
DJG Sammy,116.01731601731602,135.0,18.98268398268398
DJ Harris,106.3157894736842,125.0,18.684210526315795
JP Faulkner,122.31404958677685,140.85365853658536,18.53960894980851
MV Boucher,117.24137931034481,135.65217391304347,18.410794602698658
LS Livingstone,146.79715302491104,164.96350364963504,18.166350624724004
SA Asnodkar,118.6335403726708,136.66666666666666,18.033126293995863
LMP Simmons,120.9242618741977,138.3838383838384,17.459576509640698
SN Thakur,127.74193548387096,144.3181818181818,16.576246334310852
Shashank Singh,144.12811387900354,160.69868995633186,16.570576077328326
LRPL Taylor,115.78947368421053,132.27272727272728,16.483253588516746
SV Samson,132.47025892232332,148.7844408427877,16.314181920464364
YK Pathan,134.46948873007148,150.67961165048544,16.210122920413966
MA Starc,83.92857142857143,100.0,16.07142857142857
IK Pathan,111.81683899556869,127.59740259740259,15.780563601833904
AM Nayar,109.42928039702234,124.86486486486486,15.435584467842517
J Suchith,100.0,115.38461538461537,15.384615384615373
JM Bairstow,139.39698492462313,154.30107526881721,14.904090344194088
KS Williamson,119.88346686088856,134.62603878116343,14.74257192027487
MK Pandey,115.14161220043573,129.783693843594,14.642081643158264
DJ Hussey,116.8800931315483,131.40495867768595,14.524865546137647
BA Stokes,126.59176029962546,140.76086956521738,14.169109265591914
K Goel,88.88888888888889,102.4390243902439,13.550135501355015
KR Mayers,133.98058252427185,147.14285714285717,13.162274618585315
DT Christian,110.12269938650307,123.17073170731707,13.048032320814002
SK Raina,131.32593766508188,144.2455242966752,12.919586631593319
A Symonds,122.72727272727273,135.53719008264463,12.809917355371894
KV Sharma,108.10810810810811,120.75471698113208,12.646608873023965
AA Jhunjhunwala,96.27329192546584,108.77192982456141,12.49863789909557
PJ Cummins,142.43542435424354,154.7945205479452,12.359096193701674
Tilak Varma,133.69713506139155,145.78651685393257,12.089381792541019
SPD Smith,122.22934016655991,134.01826484018264,11.78892467362273
CM Gautam,103.57142857142858,115.21739130434783,11.645962732919244
RA Jadeja,121.63043478260869,133.24641460234682,11.61597981973813
R Ashwin,111.73285198555956,122.98850574712642,11.255653761566862
N Pooran,156.74603174603175,167.76470588235296,11.01867413632121
MK Lomror,132.76450511945393,143.75,10.98549488054607
SS Iyer,126.91528171868667,137.89954337899545,10.984261660308775
UBT Chand,94.16058394160584,105.0,10.839416058394164
MJ Clarke,100.0,110.5263157894737,10.5263157894737
R Parag,132.5346784363178,142.97520661157023,10.440528175252439
Anmolpreet Singh,116.4835164835165,126.92307692307692,10.439560439560424
CH Morris,145.6692913385827,155.9748427672956,10.305551428712903
Anirudh Singh,89.83050847457628,100.0,10.169491525423723
B Lee,117.24137931034481,127.27272727272727,10.031347962382455
Bipul Sharma,145.09803921568627,154.7945205479452,9.69648133225894
CR Woakes,98.0392156862745,107.6923076923077,9.65309200603319
MA Agarwal,127.10706150341686,136.4102564102564,9.30319490683955
MC Juneja,89.47368421052632,98.27586206896551,8.802177858439194
AL Menaria,107.66666666666667,116.4179104477612,8.75124378109453
AT Rayudu,122.99859550561798,131.61993769470405,8.621342189086064
MG Johnson,96.15384615384616,104.6875,8.53365384615384
DB Das,112.32876712328768,120.83333333333333,8.504566210045652
DJ Bravo,123.18087318087319,131.57894736842107,8.398074187547877
MK Tiwary,112.47987117552336,120.64777327935224,8.16790210382888
JP Duminy,119.38262742282843,127.52613240418118,8.143504981352748
OA Shah,123.07692307692308,131.18279569892474,8.105872622001655
AR Patel,125.91836734693878,133.98821218074656,8.069844833807778
N Rana,130.3217821782178,138.33333333333334,8.01155115511554
MS Dhoni,130.38749150237933,138.3088869715272,7.921395469147853
Abhishek Sharma,153.4746760895171,161.32075471698113,7.846078627464038
TH David,158.75370919881306,166.3101604278075,7.556451228994433
JH Kallis,104.94699646643109,112.25806451612902,7.311068049697937
PA Patel,116.1190053285968,122.63157894736842,6.512573618771626
ST Jayasuriya,133.8709677419355,140.0,6.1290322580645125
AD Mathews,118.70129870129871,124.76635514018693,6.06505643888822
V Sehwag,148.45661036691905,154.31034482758622,5.8537344606671695
YS Chahal,37.5,43.07692307692308,5.57692307692308
T Stubbs,158.9655172413793,164.4736842105263,5.508166969146998
PR Shah,94.5054945054945,100.0,5.494505494505503
CJ Ferguson,81.44329896907216,86.36363636363636,4.9203373945642
HH Pandya,139.37963587322994,144.258872651357,4.879236778127051
Shakib Al Hasan,118.56060606060606,123.35766423357664,4.79705817297058
RV Uthappa,125.58411214953271,130.01988071570577,4.435768566173053
RD Rickelton,145.56451612903226,150.0,4.435483870967744
E Lewis,130.5045871559633,134.92063492063494,4.416047764671646
Q de Kock,130.11992619926198,134.52054794520546,4.400621745943482
Shubman Gill,134.21804818293182,138.51674641148327,4.298698228551444
Dhruv Jurel,146.7005076142132,150.965250965251,4.264743351037794
JD Unadkat,113.51351351351352,117.70833333333333,4.194819819819813
AM Rahane,121.26896551724138,125.19685039370079,3.9278848764594017
AB de Villiers,147.9850998984084,151.87265917602997,3.8875592776215626
SA Yadav,144.90721649484536,148.69402985074626,3.786813355900904
B Kumar,85.49618320610686,89.27038626609442,3.7742030599875562
RG Sharma,128.11613184894128,131.87919463087246,3.7630627819311826
SM Curran,130.16949152542372,133.91812865497076,3.748637129547035
M Manhas,105.15970515970517,108.86075949367088,3.7010543339657147
SR Watson,133.81734810852123,137.45454545454544,3.637197346024209
NV Ojha,113.87959866220736,117.07317073170731,3.1935720694999503
GH Vihari,85.46712802768167,88.09523809523809,2.6281100675564204
Ramandeep Singh,152.45901639344262,155.0,2.5409836065573757
S Badrinath,115.37735849056602,117.83783783783784,2.4604793472718143
JM Sharma,150.49701789264412,152.94117647058823,2.4441585779441084
SO Hetmyer,142.79210925644915,145.09283819628646,2.300728939837313
SK Warne,89.65517241379311,91.8918918918919,2.2367194780987916
MP Stoinis,138.3534136546185,140.56399132321042,2.210577668591924
MJ Lumb,140.11627906976744,142.30769230769232,2.191413237924877
RJ Quiney,98.0,100.0,2.0
RR Sarwan,93.10344827586206,95.0,1.896551724137936
SR Tendulkar,114.06003159557663,115.86206896551725,1.8020373699406207
KA Pollard,140.08313539192397,141.28440366972478,1.201268277800807
